identifies_as_woman,identifies_as_hispanic_or_latinx,identifies_as_black,identifies_as_white,highest_education_level,state,direction_country_headed,should_incarcerated_vote,incarceration_impacts_motivation_to_vote
False,False,False,False,,,No opinion,,
False,False,False,False,,,No opinion,,
False,False,False,False,,,Wrong track,Yes,
False,False,False,False,,,,,
False,False,False,False,,,,,
False,False,False,False,,,Wrong track,,
False,False,False,False,,,,,
False,False,False,False,,,,,
False,False,False,False,,,,,
False,False,False,False,,,Wrong track,Don't know / No opinion,Slightly increased my motivation to vote
False,False,False,False,,,In between,No,
False,False,False,False,,,No opinion,Yes,Increased my motivation to vote
False,False,False,False,,,Wrong track,,
False,False,False,False,,,In between,Yes,Slightly decreased my motivation to vote
False,False,False,False,,,No opinion,No,
False,False,False,False,,,Right direction,Yes,
False,False,False,False,,,In between,,
False,False,False,False,,,,,
False,False,False,False,,,Wrong track,Yes,
False,False,False,False,,,,,
False,False,False,False,,,,,
False,False,False,False,,,Right direction,Yes,
False,False,False,False,,,,,
False,False,False,False,,,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,,,,
False,False,False,False,,,,,
False,False,False,False,,,In between,Yes,Slightly increased my motivation to vote
False,False,False,False,,,No opinion,,
False,False,False,False,,,,,
False,False,False,False,,,No opinion,Yes,Increased my motivation to vote
False,False,False,False,,,,,
False,False,False,False,,,In between,No,Increased my motivation to vote
False,False,False,False,,,In between,Don't know / No opinion,Slightly increased my motivation to vote
False,False,False,False,,,Wrong track,,
False,False,False,False,,,No opinion,,
False,False,False,False,,,Right direction,Yes,
False,False,False,False,,,Wrong track,,
False,False,False,False,,,Wrong track,Yes,
False,False,False,False,,,Right direction,No,
False,False,False,False,,,In between,Yes,
False,False,False,False,,,,,
False,False,False,False,,,Right direction,,
False,False,False,False,,,,,
False,False,False,False,,,No opinion,Don't know / No opinion,No impact
False,False,False,False,,,In between,Yes,
False,False,False,False,,,Right direction,,
False,False,False,False,,,Right direction,Yes,
False,False,False,False,,,,,
False,False,False,False,,,,,
False,False,False,False,,,In between,Don't know / No opinion,No impact
False,False,False,False,,,,,
False,False,False,False,,,Wrong track,No,
False,False,False,False,,,Wrong track,,
False,False,False,False,,,No opinion,Yes,Increased my motivation to vote
False,False,False,False,,,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,,In between,,
False,False,False,False,,,In between,Yes,Increased my motivation to vote
False,False,False,False,,,,,
False,False,False,False,,,In between,,
False,False,False,False,,,In between,,
False,False,False,False,,,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,,,,
False,False,False,False,,,,,
False,False,False,False,,,,,
False,False,False,False,,,Wrong track,No,No impact
False,False,False,False,,,No opinion,,
False,False,False,False,,,In between,,
